1,Chennai,844.3,1324.2,-36.2
2,Kancheepuram,847.6,1227.7,-31.0
3,Tiruvallur,675.7,1139.6,-40.7
4,Cuddalore,614.1,1206.7,-49.1
5,Villupuram,594.9,1011.6,-41.2
6,Vellore,727.9,936.2,-22.2
7,Tiruvannamalai,696.0,1040.0,-33.1
8,Salem,626.4,997.9,-37.2
9,Namakkal,445.3,793.4,-43.9
10,Dharmapuri,617.9,902.1,-31.5
11,Krishnagiri,737.8,850.7,-13.3
12,Tiruppur,400.1,618.2,-35.3
13,Coimbatore,545.5,689.3,-20.9
14,Erode,518.5,702.9,-26.2
15,Tiruchirappalli,476.2,818.0,-41.8
16,Karur,339.3,655.0,-48.2
17,Perambalur,544.6,861.9,-36.8
18,Pudukkottai,502.9,887.4,-43.3
19,Thanjavur,662.8,1013.1,-34.6
20,Tiruvarur,613.6,1173.3,-47.7
21,Nagapattinam,691.8,1393.3,-50.3
22,Madurai,650.4,927.9,-29.9
23,Theni,441.5,720.0,-38.7
24,Dindigul,583.6,930.7,-37.3
25,Ramanathapuram,428.3,807.8,-47.0
26,Virudhunagar,464.0,820.1,-43.4
27,Sivaganga,721.1,872.8,-17.4
28,Tirunelveli,537.7,845.1,-36.4
29,Thoothukudi,232.9,656.3,-64.5
30,The Nilgiris,1143.2,1522.7,-24.9
31,Ariyalur,599.3,1071.8,-44.1
32,Kanniyakumari,614.2,1302.5,-52.8

